HUD frame time nsec:,109641000

Range Index,Elapsed Time, First Event,Last Event
879,65536,6162,6162
880,63808,6169,6169
881,67840,6176,6176
882,62432,6183,6183
883,69792,6190,6190
884,62080,6197,6197
885,69536,6204,6204
886,62720,6211,6211
887,67776,6218,6218
888,64256,6225,6225
889,65344,6232,6232
890,65568,6239,6239
891,63968,6246,6246
892,67968,6253,6253
893,62432,6260,6260
894,69568,6267,6267
895,62016,6274,6274
896,69696,6281,6281
897,62464,6288,6288
898,67872,6295,6295
899,64128,6302,6302
900,65536,6309,6309
901,63008,6316,6316
902,69024,6323,6323
903,62464,6330,6330
904,68000,6337,6337
905,64000,6344,6344
906,65408,6351,6351
907,65568,6358,6358
908,64128,6365,6365
909,67936,6372,6372
910,62496,6379,6379
911,69568,6386,6386
912,62240,6393,6393
913,69440,6400,6400
914,62624,6407,6407
915,67936,6414,6414
916,64064,6421,6421
917,65504,6428,6428
918,65664,6435,6435
919,63904,6442,6442
920,67936,6449,6449
921,62496,6456,6456
922,69472,6463,6463
923,62432,6470,6470
924,69472,6477,6477
925,62496,6484,6484
926,68000,6491,6491
927,64160,6498,6498
928,65280,6505,6505
929,65696,6512,6512
930,63808,6519,6519
931,67808,6526,6526
932,62208,6533,6533
933,69632,6540,6540
934,62176,6547,6547
935,69568,6554,6554
936,62752,6561,6561
937,67744,6568,6568
938,64096,6575,6575
939,65472,6582,6582
940,65536,6589,6589
941,64000,6596,6596
942,67936,6603,6603
943,62432,6610,6610
944,69696,6617,6617
945,62048,6624,6624
946,69504,6631,6631
947,62656,6638,6638
948,67808,6645,6645
949,64192,6652,6652
950,65376,6659,6659
951,62592,6666,6666
952,69568,6673,6673
953,62336,6680,6680
954,68160,6687,6687
955,63904,6694,6694
956,65440,6701,6701
957,65568,6708,6708
958,64096,6715,6715
959,68000,6722,6722
960,62432,6729,6729
961,69472,6736,6736
962,62208,6743,6743
963,69376,6750,6750
964,62688,6757,6757
965,67776,6764,6764
966,64096,6771,6771
967,65760,6778,6778
968,65440,6785,6785
969,63840,6792,6792
970,68064,6799,6799
971,62336,6806,6806
972,69632,6813,6813
973,62304,6820,6820
974,69344,6827,6827
975,62720,6834,6834
976,68064,6841,6841
977,64384,6848,6848
978,64864,6855,6855
979,65728,6862,6862
980,64032,6869,6869
981,67936,6876,6876
982,62304,6883,6883
983,69856,6890,6890
984,61760,6897,6897
985,69216,6904,6904
986,62688,6911,6911
987,67808,6918,6918
988,64096,6925,6925
989,65440,6932,6932
990,65568,6939,6939
991,63968,6946,6946
992,68032,6953,6953
993,62432,6960,6960
994,69504,6967,6967
995,62144,6974,6974
996,69504,6981,6981
997,62752,6988,6988
998,67744,6995,6995
999,64128,7002,7002
1000,65536,7009,7009
1001,62912,7016,7016
1002,69056,7023,7023
1003,62528,7030,7030
1004,68000,7037,7037
1005,63872,7044,7044
1006,65600,7051,7051
1007,65408,7058,7058
1008,64864,7065,7065
1009,67232,7072,7072
1010,62432,7079,7079
1011,69600,7086,7086
1012,62240,7093,7093
1013,69344,7100,7100
1014,62880,7107,7107
1015,67808,7114,7114
1016,64256,7121,7121
1017,65152,7128,7128
1018,65568,7135,7135
1019,64000,7142,7142
1020,67904,7149,7149
1021,62528,7156,7156
1022,69504,7163,7163
1023,62304,7170,7170
1024,69472,7177,7177
1025,62784,7184,7184
1026,67616,7191,7191
1027,64352,7198,7198
1028,65600,7205,7205
1029,65408,7212,7212
1030,63744,7219,7219
1031,67936,7226,7226
1032,62464,7233,7233
1033,69696,7240,7240
1034,61888,7247,7247
1035,69792,7254,7254
1036,62176,7261,7261
1037,67904,7268,7268
1038,64064,7275,7275
1039,65440,7282,7282
1040,65696,7289,7289
1041,63872,7296,7296
1042,68064,7303,7303
1043,62304,7310,7310
1044,69824,7317,7317
1045,61888,7324,7324
1046,69568,7331,7331
1047,62656,7338,7338
1048,67776,7345,7345
1049,64160,7352,7352
1050,65376,7359,7359
1051,62560,7366,7366
1052,69440,7373,7373
1053,62656,7380,7380
1054,67808,7387,7387
1055,64032,7394,7394
1056,65536,7401,7401
1057,65472,7408,7408
1058,64096,7415,7415
1059,67904,7422,7422
1060,62400,7429,7429
1061,69600,7436,7436
1062,62880,7443,7443
1063,68832,7450,7450
1064,62688,7457,7457
1065,67808,7464,7464
1066,64096,7471,7471
1067,65568,7478,7478
1068,65696,7485,7485
1069,64032,7492,7492
1070,67744,7499,7499
1071,62816,7506,7506
1072,69440,7513,7513
1073,62048,7520,7520
1074,69312,7527,7527
1075,62880,7534,7534
1076,68288,7541,7541
1077,63744,7548,7548
1078,65504,7555,7555
1079,65152,7562,7562
1080,63968,7569,7569
1081,68000,7576,7576
1082,62336,7583,7583
1083,69760,7590,7590
1084,62432,7597,7597
1085,69216,7604,7604
1086,62528,7611,7611
1087,67584,7618,7618
1088,64160,7625,7625
1089,65312,7632,7632
1090,65568,7639,7639
1091,64000,7646,7646
1092,67936,7653,7653
1093,62400,7660,7660
1094,69632,7667,7667
1095,62112,7674,7674
1096,69568,7681,7681
1097,62624,7688,7688
1098,67840,7695,7695
1099,64352,7702,7702
1100,65184,7709,7709
1101,62720,7716,7716
1102,69312,7723,7723
1103,62400,7730,7730
1104,68064,7737,7737
1105,64224,7744,7744
1106,65696,7751,7751
1107,65024,7758,7758
1108,64096,7765,7765
1109,67936,7772,7772
1110,62368,7779,7779
1111,69600,7786,7786
1112,62208,7793,7793
1113,69408,7800,7800
